SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0000241,1,,,3
2023GQ0000392,1,,,2
2023GQ0000588,1,,,3
2023GQ0000609,1,,,2
2023GQ0000622,1,,,2
2023GQ0000703,1,,,2
2023GQ0000872,1,71,,3
2023GQ0000889,1,189,,3
2023GQ0000900,1,,,2
2023GQ0000940,1,,,3
2023GQ0001047,1,,,3
2023GQ0001132,1,0,,3
2023GQ0001151,1,,,3
2023GQ0001412,1,55,,3
2023GQ0001563,1,,,2
2023GQ0001597,1,,,2
2023GQ0001646,1,6,,3
2023GQ0001918,1,383,,3
2023GQ0002029,1,,,2
2023GQ0002310,1,,,2
2023GQ0002372,1,,,2
2023GQ0002452,1,,,2
2023GQ0002564,1,,,3
2023GQ0002837,1,0,,3
2023GQ0002902,1,,,3
2023GQ0002944,1,,,2
2023GQ0002950,1,,,2
2023GQ0003193,1,85,,3
2023GQ0003320,1,,,3
2023GQ0003573,1,,,3
2023GQ0003608,1,,,2
2023GQ0003656,1,,,3
2023GQ0003825,1,,,2
2023GQ0004000,1,0,,3
2023GQ0004023,1,,,3
2023GQ0004207,1,,,2
2023GQ0004491,1,,,2
2023GQ0004688,1,,,3
2023GQ0004856,1,71,,3
2023GQ0005078,1,,,2
2023GQ0005089,1,72,,3
2023GQ0005137,1,,,3
2023GQ0005286,1,20,,3
2023GQ0005373,1,,,2
2023GQ0005386,1,,,2
2023GQ0005475,1,72,,3
2023GQ0005543,1,0,,3
2023GQ0005812,1,,,2
2023GQ0005904,1,,,2
2023GQ0006161,1,,,2
2023GQ0006165,1,,,2
2023GQ0006217,1,,,2
2023GQ0006233,1,,,3
2023GQ0006429,1,,,2
2023GQ0006527,1,,,2
2023GQ0006589,1,,,2
2023GQ0006731,1,,,2
2023GQ0006749,1,,,3
2023GQ0006827,1,0,,3
2023GQ0006828,1,,,2
2023GQ0006837,1,,,3
2023GQ0006916,1,,,2
2023GQ0006947,1,222,,3
2023GQ0007015,1,27,,3
2023GQ0007300,1,,,3
2023GQ0007377,1,,,2
2023GQ0007402,1,,,2
2023GQ0007615,1,,,2
2023GQ0007636,1,38,,3
2023GQ0007813,1,,,3
2023GQ0007871,1,,,2
2023GQ0007906,1,,,2
2023GQ0008110,1,,,3
2023GQ0008143,1,,,2
2023GQ0008472,1,,,2
2023GQ0008527,1,,,2
2023GQ0008560,1,,,2
2023GQ0008610,1,,,2
2023GQ0008720,1,,,2
2023GQ0008768,1,,,3
2023GQ0009087,1,,,2
2023GQ0009132,1,,,3
2023GQ0009226,1,,,3
2023GQ0009250,1,,,2
2023GQ0009288,1,,,2
2023GQ0009292,1,,,2
2023GQ0009306,1,,,3
2023GQ0009350,1,,,3
2023GQ0009386,1,,,2
2023GQ0009688,1,,,2
2023GQ0009821,1,,,3
2023GQ0010271,1,,,3
2023GQ0010347,1,,,3
2023GQ0010379,1,,,2
2023GQ0010506,1,,,2
2023GQ0010658,1,,,3
2023GQ0010954,1,,,3
2023GQ0010974,1,,,2
2023GQ0011034,1,46,,3
2023GQ0011041,1,,,2
2023GQ0011335,1,,,2
2023GQ0011407,1,0,,3
2023GQ0011423,1,22,,3
2023GQ0011480,1,,,2
2023GQ0011508,1,0,,3
2023GQ0011525,1,,,3
2023GQ0011748,1,,,2
2023GQ0011858,1,,,2
2023GQ0011885,1,,,2
2023GQ0011998,1,,,2
2023GQ0012059,1,,,3
2023GQ0012255,1,,,3
2023GQ0012436,1,0,,3
2023GQ0012475,1,67,,3
2023GQ0012543,1,,,2
2023GQ0012550,1,,,2
2023GQ0012805,1,0,,3
2023GQ0012895,1,,,2
2023GQ0013047,1,,,2
2023GQ0013109,1,,,3
2023GQ0013348,1,,,2
2023GQ0013361,1,,,2
2023GQ0013569,1,,,3
2023GQ0013796,1,,,2
2023GQ0013863,1,,,2
2023GQ0013878,1,,,2
2023GQ0014289,1,79,,3
2023GQ0014355,1,,,2
2023GQ0014408,1,,,3
2023GQ0014540,1,153,,3
2023GQ0014545,1,,,2
2023GQ0014664,1,,,2
2023GQ0014964,1,,,2
2023GQ0015151,1,,,2
2023GQ0015335,1,13,,3
2023GQ0015530,1,,,3
2023GQ0015616,1,,,2
2023GQ0015917,1,,,2
2023GQ0015940,1,,,2
2023GQ0015956,1,170,,3
2023GQ0016090,1,0,,3
2023GQ0016442,1,,,3
2023GQ0016515,1,,,2
2023GQ0016565,1,,,2
2023GQ0016573,1,,,2
2023GQ0016590,1,,,3
2023GQ0016629,1,,,3
2023GQ0016662,1,80,,3
2023GQ0016697,1,,,3
2023GQ0016822,1,,,2
2023GQ0017146,1,,,2
2023GQ0017386,1,55,,3
2023GQ0017433,1,,,2
2023GQ0017486,1,,,3
2023GQ0017533,1,,,2
2023GQ0017598,1,56,,3
2023GQ0017736,1,,,2
2023GQ0018055,1,,,2
2023GQ0018075,1,,,3
2023GQ0018187,1,,,2
2023GQ0018217,1,,,2
2023GQ0018454,1,,,2
2023GQ0018583,1,,,3
2023GQ0018675,1,,,2
2023GQ0018701,1,,,3
2023GQ0018832,1,,,3
2023GQ0018885,1,,,2
2023GQ0019002,1,,,2
2023GQ0019183,1,,,2
2023GQ0019443,1,,,3
2023GQ0019607,1,,,3
2023GQ0019777,1,,,2
2023GQ0019778,1,,,3
2023GQ0019967,1,,,2
2023GQ0020022,1,,,2
2023GQ0020160,1,,,2
2023GQ0020405,1,,,2
2023GQ0020468,1,,,3
2023GQ0020665,1,,,3
2023GQ0020711,1,,,2
2023GQ0021009,1,,,3
2023GQ0021055,1,,,2
2023GQ0021063,1,,,3
2023GQ0021170,1,,,2
2023GQ0021385,1,,,2
2023GQ0021422,1,,,3
2023GQ0021429,1,,,2
2023GQ0021449,1,,,3
2023GQ0021486,1,,,3
2023GQ0021618,1,,,2
2023GQ0021686,1,,,2
2023GQ0021741,1,55,,3
2023GQ0021755,1,,,3
2023GQ0021788,1,,,2
2023GQ0021949,1,,,3
2023GQ0022172,1,,,2
2023GQ0022388,1,,,3
2023GQ0022459,1,,,3
2023GQ0022542,1,,,3
2023GQ0022580,1,98,,3
2023GQ0022737,1,,,2
2023GQ0022757,1,,,2
2023GQ0022799,1,,,3
2023GQ0022836,1,,,2
2023GQ0022842,1,,,3
2023GQ0022866,1,,,2
2023GQ0022907,1,70,,3
2023GQ0023059,1,0,,3
2023GQ0023146,1,,,3
2023GQ0023192,1,,,2
2023GQ0023351,1,,,2
2023GQ0023466,1,83,,3
2023GQ0023674,1,,,3
2023GQ0023733,1,,,2
2023GQ0024400,1,,,3
2023GQ0024485,1,,,2
2023GQ0024524,1,,,2
2023GQ0024693,1,,,2
2023GQ0024779,1,,,2
2023GQ0024871,1,,,2
2023GQ0024916,1,,,3
2023GQ0024921,1,,,2
2023GQ0025061,1,32,,3
2023GQ0025093,1,,,2
2023GQ0025098,1,,,2
2023GQ0025628,1,0,,3
2023GQ0025805,1,,,2
2023GQ0025830,1,59,,3
2023GQ0025876,1,,,2
2023GQ0026054,1,,,2
2023GQ0026082,1,52,,3
2023GQ0026088,1,,,2
2023GQ0026178,1,,,3
2023GQ0026266,1,16,,3
2023GQ0026405,1,,,2
2023GQ0026410,1,,,3
2023GQ0026452,1,54,,3
2023GQ0026555,1,,,3
2023GQ0026743,1,,,3
2023GQ0026764,1,,,2
2023GQ0026774,1,,,2
2023GQ0026860,1,,,3
2023GQ0026890,1,,,2
2023GQ0027155,1,,,2
2023GQ0027182,1,,,3
2023GQ0027206,1,,,2
2023GQ0027305,1,,,3
2023GQ0027314,1,,,3
2023GQ0027370,1,,,2
2023GQ0027433,1,,,3
2023GQ0027461,1,,,3
2023GQ0027643,1,,,3
2023GQ0027777,1,,,3
2023GQ0028072,1,,,2
2023GQ0028143,1,,,3
2023GQ0028203,1,,,2
2023GQ0028741,1,,,3
2023GQ0028762,1,16,,3
2023GQ0029001,1,,,3
2023GQ0029254,1,,,2
2023GQ0029618,1,,,2
2023GQ0029822,1,,,2
2023GQ0029936,1,,,2
2023GQ0030224,1,,,2
2023GQ0030225,1,,,2
2023GQ0030322,1,,,3
2023GQ0030345,1,,,3
2023GQ0030540,1,,,3
2023GQ0030548,1,,,2
2023GQ0030586,1,455,,3
2023GQ0030835,1,,,3
2023GQ0031116,1,70,,3
2023GQ0031432,1,,,2
2023GQ0031491,1,,,3
2023GQ0031556,1,,,2
2023GQ0031569,1,,,3
2023GQ0031676,1,170,,3
2023GQ0031795,1,,,3
2023GQ0031820,1,,,2
2023GQ0031948,1,,,3
2023GQ0031982,1,,,3
2023GQ0032124,1,,,3
2023GQ0032372,1,,,2
2023GQ0032482,1,,,3
2023GQ0032662,1,,,2
2023GQ0032701,1,,,3
2023GQ0032798,1,,,2
2023GQ0032799,1,,,2
2023GQ0032996,1,,,2
2023GQ0033115,1,173,,3
2023GQ0033276,1,,,3
2023GQ0033394,1,82,,3
2023GQ0033679,1,,,3
2023GQ0033983,1,6,,3
2023GQ0033989,1,38,,3
2023GQ0034075,1,,,2
2023GQ0034076,1,,,3
2023GQ0034542,1,,,2
2023GQ0034641,1,,,2
2023GQ0034880,1,,,2
2023GQ0034966,1,,,2
2023GQ0034996,1,,,3
2023GQ0035145,1,,,3
2023GQ0035254,1,,,3
2023GQ0035404,1,,,2
2023GQ0035545,1,,,2
2023GQ0035549,1,92,,3
2023GQ0035951,1,,,3
2023GQ0036087,1,57,,3
2023GQ0036131,1,,,2
2023GQ0036515,1,57,,3
2023GQ0036602,1,,,3
2023GQ0036889,1,,,2
2023GQ0036899,1,,,2
2023GQ0036910,1,,,3
2023GQ0037063,1,170,,3
2023GQ0037193,1,,,2
2023GQ0037197,1,,,2
2023GQ0037269,1,,,3
2023GQ0037279,1,,,3
2023GQ0037492,1,,,3
2023GQ0037721,1,22,,3
2023GQ0037738,1,,,2
2023GQ0037761,1,,,3
2023GQ0037802,1,261,,3
2023GQ0037982,1,,,3
2023GQ0038042,1,56,,3
2023GQ0038237,1,6,,3
2023GQ0038345,1,,,3
2023GQ0038363,1,,,3
2023GQ0038509,1,,,2
2023GQ0038656,1,,,3
2023GQ0038739,1,,,2
2023GQ0038773,1,,,3
2023GQ0038834,1,,,3
2023GQ0038981,1,,,2
2023GQ0039022,1,119,,3
2023GQ0039091,1,,,2
2023GQ0039150,1,,,2
2023GQ0039270,1,,,2
2023GQ0039302,1,,,3
2023GQ0039336,1,,,3
2023GQ0039393,1,,,2
2023GQ0039636,1,,,3
2023GQ0039638,1,15,,3
2023GQ0039659,1,,,3
2023GQ0039807,1,,,2
2023GQ0039846,1,,,2
2023GQ0039897,1,,,3
2023GQ0039904,1,,,3
2023GQ0039916,1,,,3
2023GQ0039978,1,,,2
2023GQ0040091,1,,,3
2023GQ0040164,1,67,,3
2023GQ0040185,1,,,2
2023GQ0040191,1,,,2
2023GQ0040316,1,0,,3
2023GQ0040828,1,,,2
2023GQ0041088,1,,,3
2023GQ0041113,1,,,2
2023GQ0041188,1,,,2
2023GQ0041231,1,,,2
2023GQ0041325,1,,,3
2023GQ0041542,1,,,3
2023GQ0042167,1,,,2
2023GQ0042404,1,,,2
2023GQ0042460,1,333,,3
2023GQ0042493,1,,,3
2023GQ0042589,1,,,3
2023GQ0042628,1,,,2
2023GQ0042635,1,,,2
2023GQ0042690,1,,,3
2023GQ0042739,1,,,2
2023GQ0042747,1,,,3
2023GQ0042771,1,78,,3
2023GQ0042990,1,,,3
2023GQ0043119,1,,,3
2023GQ0043149,1,339,,3
