SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0000006,1,,,3
2023GQ0000136,1,,,3
2023GQ0000342,1,78,,3
2023GQ0000376,1,161,,3
2023GQ0000418,1,206,,3
2023GQ0000439,1,0,,3
2023GQ0000484,1,33,,3
2023GQ0000496,1,14,,3
2023GQ0000539,1,104,,3
2023GQ0000542,1,,,2
2023GQ0000543,1,0,,3
2023GQ0000596,1,,,3
2023GQ0000597,1,,,2
2023GQ0000682,1,176,,3
2023GQ0000704,1,14,,3
2023GQ0000706,1,,,2
2023GQ0000716,1,,,2
2023GQ0000737,1,,,3
2023GQ0000772,1,,,2
2023GQ0000801,1,123,,3
2023GQ0000952,1,0,,3
2023GQ0000971,1,0,,3
2023GQ0001020,1,31,,3
2023GQ0001053,1,,,2
2023GQ0001067,1,213,,3
2023GQ0001170,1,,,3
2023GQ0001332,1,,,3
2023GQ0001357,1,,,2
2023GQ0001391,1,,,2
2023GQ0001396,1,,,3
2023GQ0001401,1,,,3
2023GQ0001493,1,15,,3
2023GQ0001639,1,0,,3
2023GQ0001640,1,121,,3
2023GQ0001650,1,75,,3
2023GQ0001749,1,,,3
2023GQ0001750,1,50,,3
2023GQ0001761,1,0,,3
2023GQ0001782,1,31,,3
2023GQ0001797,1,9,,3
2023GQ0001803,1,,,3
2023GQ0001849,1,,,2
2023GQ0001872,1,80,,3
2023GQ0001885,1,7,,3
2023GQ0001965,1,100,,3
2023GQ0001991,1,106,,3
2023GQ0002010,1,,,3
2023GQ0002030,1,0,,3
2023GQ0002082,1,0,,3
2023GQ0002150,1,,,3
2023GQ0002190,1,164,,3
2023GQ0002287,1,,,2
2023GQ0002311,1,,,2
2023GQ0002373,1,,,2
2023GQ0002389,1,0,,3
2023GQ0002407,1,308,,3
2023GQ0002438,1,,,2
2023GQ0002477,1,2,,3
2023GQ0002624,1,,,3
2023GQ0002680,1,0,,3
2023GQ0002701,1,,,3
2023GQ0002744,1,76,,3
2023GQ0002884,1,103,,3
2023GQ0002949,1,,,3
2023GQ0002994,1,7,,3
2023GQ0003034,1,,,3
2023GQ0003059,1,0,,3
2023GQ0003085,1,,,3
2023GQ0003121,1,,,3
2023GQ0003134,1,,,2
2023GQ0003190,1,0,,3
2023GQ0003220,1,,,3
2023GQ0003247,1,217,,3
2023GQ0003434,1,,,2
2023GQ0003453,1,25,,3
2023GQ0003522,1,,,2
2023GQ0003529,1,,,2
2023GQ0003577,1,,,2
2023GQ0003896,1,,,3
2023GQ0003902,1,,,3
2023GQ0003944,1,,,2
2023GQ0003958,1,0,,3
2023GQ0004002,1,,,3
2023GQ0004062,1,,,2
2023GQ0004128,1,,,3
2023GQ0004229,1,,,2
2023GQ0004257,1,0,,3
2023GQ0004265,1,38,,3
2023GQ0004271,1,,,2
2023GQ0004325,1,124,,3
2023GQ0004336,1,,,2
2023GQ0004351,1,34,,3
2023GQ0004382,1,,,3
2023GQ0004420,1,,,2
2023GQ0004558,1,,,3
2023GQ0004579,1,104,,3
2023GQ0004595,1,0,,3
2023GQ0004657,1,76,,3
2023GQ0004663,1,134,,3
2023GQ0004681,1,153,,3
2023GQ0004711,1,175,,3
2023GQ0004757,1,73,,3
2023GQ0004809,1,,,2
2023GQ0004943,1,,,3
2023GQ0004995,1,0,,3
2023GQ0005066,1,0,,3
2023GQ0005103,1,,,3
2023GQ0005116,1,102,,3
2023GQ0005130,1,,,3
2023GQ0005266,1,,,2
2023GQ0005317,1,50,,3
2023GQ0005322,1,,,3
2023GQ0005328,1,73,,3
2023GQ0005347,1,14,,3
2023GQ0005362,1,,,3
2023GQ0005367,1,,,2
2023GQ0005425,1,123,,3
2023GQ0005471,1,,,2
2023GQ0005482,1,,,2
2023GQ0005632,1,,,3
2023GQ0005650,1,,,2
2023GQ0005668,1,,,2
2023GQ0005670,1,,,3
2023GQ0005692,1,0,,3
2023GQ0005768,1,0,,3
2023GQ0005891,1,,,3
2023GQ0005892,1,0,,3
2023GQ0005939,1,,,3
2023GQ0005993,1,,,2
2023GQ0006043,1,,,3
2023GQ0006048,1,0,,3
2023GQ0006050,1,170,,3
2023GQ0006068,1,,,3
2023GQ0006118,1,,,2
2023GQ0006187,1,1,,3
2023GQ0006193,1,104,,3
2023GQ0006207,1,0,,3
2023GQ0006210,1,0,,3
2023GQ0006331,1,16,,3
2023GQ0006406,1,,,3
2023GQ0006442,1,146,,3
2023GQ0006544,1,103,,3
2023GQ0006550,1,,,3
2023GQ0006581,1,72,,3
2023GQ0006585,1,70,,3
2023GQ0006616,1,0,,3
2023GQ0006741,1,104,,3
2023GQ0006840,1,,,2
2023GQ0006871,1,424,,3
2023GQ0006967,1,0,,3
2023GQ0007025,1,84,,3
2023GQ0007125,1,149,,3
2023GQ0007134,1,67,,3
2023GQ0007150,1,123,,3
2023GQ0007155,1,,,3
2023GQ0007186,1,34,,3
2023GQ0007216,1,180,,3
2023GQ0007245,1,,,2
2023GQ0007346,1,191,,3
2023GQ0007452,1,,,3
2023GQ0007479,1,,,3
2023GQ0007571,1,,,3
2023GQ0007623,1,0,,3
2023GQ0007708,1,88,,3
2023GQ0007838,1,71,,3
2023GQ0007850,1,75,,3
2023GQ0007909,1,,,3
2023GQ0007933,1,,,3
2023GQ0007935,1,0,,3
2023GQ0008052,1,,,3
2023GQ0008084,1,,,2
2023GQ0008137,1,,,2
2023GQ0008151,1,12,,3
2023GQ0008259,1,,,3
2023GQ0008321,1,,,2
2023GQ0008353,1,,,3
2023GQ0008359,1,,,3
2023GQ0008369,1,156,,3
2023GQ0008490,1,,,3
2023GQ0008572,1,159,,3
2023GQ0008623,1,,,3
2023GQ0008695,1,,,3
2023GQ0008820,1,,,3
2023GQ0008827,1,,,2
2023GQ0008943,1,,,3
2023GQ0008947,1,,,2
2023GQ0008968,1,,,3
2023GQ0009189,1,90,,3
2023GQ0009209,1,,,2
2023GQ0009218,1,,,2
2023GQ0009227,1,,,2
2023GQ0009228,1,,,3
2023GQ0009232,1,117,,3
2023GQ0009236,1,213,,3
