SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0000383,1,3,,3
2023GQ0000385,1,290,,3
2023GQ0001939,1,97,,3
2023GQ0001994,1,,,2
2023GQ0002280,1,86,,3
2023GQ0002283,1,,,2
2023GQ0002933,1,,,2
2023GQ0003502,1,,,2
2023GQ0003545,1,95,,3
2023GQ0004549,1,0,,3
2023GQ0004746,1,58,,3
2023GQ0004779,1,95,,3
2023GQ0004944,1,0,,3
2023GQ0005289,1,17,,3
2023GQ0005870,1,0,,3
2023GQ0006173,1,91,,3
2023GQ0006743,1,0,,3
2023GQ0007144,1,,,3
2023GQ0008069,1,,,2
2023GQ0008073,1,,,3
2023GQ0008152,1,248,,3
2023GQ0008707,1,86,,3
2023GQ0008885,1,0,,3
2023GQ0009739,1,0,,3
2023GQ0010253,1,0,,3
2023GQ0010497,1,132,,3
2023GQ0010598,1,,,3
2023GQ0010912,1,0,,3
2023GQ0010942,1,,,3
2023GQ0011537,1,,,3
2023GQ0011663,1,98,,3
2023GQ0011924,1,,,3
2023GQ0012021,1,,,3
2023GQ0012505,1,,,3
2023GQ0012747,1,95,,3
2023GQ0013316,1,,,2
2023GQ0013794,1,131,,3
2023GQ0013809,1,,,3
2023GQ0014770,1,154,,3
2023GQ0014795,1,78,,3
2023GQ0015034,1,290,,3
2023GQ0015357,1,,,3
2023GQ0016195,1,,,3
2023GQ0016251,1,7,,3
2023GQ0016608,1,77,,3
2023GQ0016658,1,,,3
2023GQ0016700,1,,,2
2023GQ0016917,1,,,3
2023GQ0017480,1,0,,3
2023GQ0017720,1,183,,3
2023GQ0017837,1,0,,3
2023GQ0017844,1,,,3
2023GQ0017930,1,,,3
2023GQ0018337,1,,,2
2023GQ0018540,1,346,,3
2023GQ0019255,1,,,2
2023GQ0020460,1,58,,3
2023GQ0020622,1,38,,3
2023GQ0020693,1,,,3
2023GQ0020716,1,98,,3
2023GQ0020979,1,0,,3
2023GQ0021144,1,0,,3
2023GQ0021589,1,290,,3
2023GQ0022397,1,0,,3
2023GQ0022760,1,,,3
2023GQ0022952,1,120,,3
2023GQ0023168,1,,,3
2023GQ0023516,1,,,3
2023GQ0024099,1,,,3
2023GQ0024248,1,,,3
2023GQ0024295,1,,,3
2023GQ0024448,1,60,,3
2023GQ0024500,1,,,3
2023GQ0024892,1,0,,3
2023GQ0025551,1,,,2
2023GQ0025683,1,76,,3
2023GQ0025726,1,0,,3
2023GQ0025743,1,,,3
2023GQ0026019,1,192,,3
2023GQ0026098,1,81,,3
2023GQ0026156,1,,,2
2023GQ0026203,1,131,,3
2023GQ0026216,1,,,3
2023GQ0026477,1,0,,3
2023GQ0027031,1,0,,3
2023GQ0027619,1,0,,3
2023GQ0028485,1,97,,3
2023GQ0028566,1,64,,3
2023GQ0028680,1,0,,3
2023GQ0028863,1,0,,3
2023GQ0029308,1,,,3
2023GQ0029814,1,64,,3
2023GQ0029914,1,,,3
2023GQ0030113,1,0,,3
2023GQ0031352,1,110,,3
2023GQ0031359,1,354,,3
2023GQ0031426,1,0,,3
2023GQ0031611,1,233,,3
2023GQ0032705,1,0,,3
2023GQ0033704,1,76,,3
2023GQ0033744,1,0,,3
2023GQ0033918,1,0,,3
2023GQ0034092,1,,,3
2023GQ0034177,1,81,,3
2023GQ0034656,1,,,3
2023GQ0034667,1,6,,3
2023GQ0034759,1,,,3
2023GQ0035070,1,,,2
2023GQ0035120,1,,,2
2023GQ0035381,1,0,,3
2023GQ0035572,1,0,,3
2023GQ0035873,1,,,2
2023GQ0036014,1,,,3
2023GQ0036311,1,,,2
2023GQ0036510,1,,,3
2023GQ0036545,1,,,2
2023GQ0036709,1,64,,3
2023GQ0037441,1,0,,3
2023GQ0038032,1,0,,3
2023GQ0038833,1,0,,3
2023GQ0040601,1,,,3
2023GQ0040851,1,79,,3
2023GQ0041124,1,80,,3
2023GQ0041363,1,294,,3
2023GQ0041927,1,0,,3
2023GQ0042155,1,,,2
2023GQ0042342,1,,,3
2023GQ0042838,1,,,3
2023GQ0042933,1,,,3
2023GQ0043335,1,0,,3
2023GQ0043436,1,,,2
2023GQ0043804,1,39,,3
2023GQ0044024,1,,,3
2023GQ0044906,1,94,,3
2023GQ0044919,1,,,2
2023GQ0045357,1,4,,3
2023GQ0045987,1,98,,3
2023GQ0047108,1,,,2
2023GQ0047473,1,483,,3
2023GQ0047593,1,483,,3
2023GQ0047684,1,199,,3
2023GQ0047885,1,501,,3
2023GQ0048288,1,,,3
2023GQ0048300,1,,,3
2023GQ0048333,1,,,2
2023GQ0048897,1,0,,3
2023GQ0048931,1,98,,3
2023GQ0048998,1,97,,3
2023GQ0049029,1,,,3
2023GQ0049208,1,,,3
2023GQ0049244,1,428,,3
2023GQ0050024,1,,,2
2023GQ0050417,1,,,3
2023GQ0050928,1,,,3
2023GQ0051026,1,108,,3
2023GQ0051303,1,,,2
2023GQ0051864,1,0,,3
2023GQ0052098,1,,,3
2023GQ0052161,1,,,3
2023GQ0052410,1,0,,3
2023GQ0053528,1,76,,3
2023GQ0053867,1,8,,3
2023GQ0053889,1,98,,3
2023GQ0054206,1,0,,3
2023GQ0054260,1,,,3
2023GQ0054613,1,17,,3
2023GQ0054942,1,,,3
2023GQ0055161,1,3,,3
2023GQ0056089,1,,,3
2023GQ0056141,1,,,3
2023GQ0056735,1,,,3
2023GQ0057317,1,,,2
2023GQ0057675,1,,,3
2023GQ0058315,1,,,3
2023GQ0058484,1,,,3
2023GQ0058800,1,64,,3
2023GQ0059722,1,0,,3
2023GQ0060092,1,,,3
2023GQ0060237,1,0,,3
2023GQ0060757,1,240,,3
2023GQ0060909,1,0,,3
2023GQ0062144,1,,,3
2023GQ0062417,1,41,,3
2023GQ0063214,1,91,,3
2023GQ0063536,1,,,3
2023GQ0064409,1,,,2
2023GQ0064700,1,248,,3
2023GQ0064809,1,152,,3
2023GQ0065094,1,,,3
2023GQ0065171,1,79,,3
2023GQ0065352,1,0,,3
2023GQ0066149,1,155,,3
2023GQ0066220,1,0,,3
2023GQ0066275,1,95,,3
2023GQ0066299,1,40,,3
2023GQ0066460,1,135,,3
2023GQ0066774,1,,,2
2023GQ0066777,1,,,3
2023GQ0067321,1,233,,3
2023GQ0067335,1,385,,3
