SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0000333,1,118,,3
2023GQ0000428,1,,,3
2023GQ0000561,1,,,2
2023GQ0000677,1,,,2
2023GQ0000709,1,,,3
2023GQ0000732,1,,,2
2023GQ0000958,1,,,3
2023GQ0001197,1,,,3
2023GQ0001344,1,,,2
2023GQ0001358,1,,,2
2023GQ0001809,1,63,,3
2023GQ0001970,1,,,2
2023GQ0001989,1,,,2
2023GQ0002367,1,,,2
2023GQ0002542,1,,,2
2023GQ0002547,1,,,2
2023GQ0002595,1,,,2
2023GQ0002629,1,,,3
2023GQ0003198,1,,,2
2023GQ0003280,1,,,2
2023GQ0003359,1,,,2
2023GQ0003646,1,,,2
2023GQ0003957,1,282,,3
2023GQ0004233,1,,,2
2023GQ0004494,1,,,2
2023GQ0004639,1,,,3
2023GQ0004699,1,,,2
2023GQ0004855,1,,,2
2023GQ0004986,1,,,3
2023GQ0005060,1,0,,3
2023GQ0005075,1,,,3
2023GQ0005309,1,,,3
2023GQ0005671,1,58,,3
2023GQ0005759,1,,,2
2023GQ0005762,1,,,2
2023GQ0006019,1,,,2
2023GQ0006046,1,,,2
2023GQ0006322,1,185,,3
2023GQ0006350,1,,,2
2023GQ0006460,1,30,,3
2023GQ0006640,1,283,,3
2023GQ0007271,1,0,,3
2023GQ0007332,1,64,,3
2023GQ0007572,1,,,2
2023GQ0007761,1,0,,3
2023GQ0007781,1,63,,3
2023GQ0007831,1,,,2
2023GQ0007842,1,,,2
2023GQ0008009,1,,,2
2023GQ0008367,1,,,2
2023GQ0008435,1,,,2
2023GQ0008579,1,,,2
2023GQ0008675,1,,,2
2023GQ0008782,1,0,,3
2023GQ0008905,1,,,2
2023GQ0008930,1,,,2
2023GQ0009054,1,,,2
2023GQ0009417,1,,,2
2023GQ0009458,1,,,2
2023GQ0009468,1,,,2
2023GQ0009469,1,,,2
2023GQ0009505,1,,,2
2023GQ0009613,1,,,3
2023GQ0009768,1,,,2
2023GQ0009892,1,,,2
2023GQ0009942,1,,,2
2023GQ0010186,1,,,2
2023GQ0010309,1,501,,3
2023GQ0010323,1,,,2
2023GQ0010409,1,,,2
2023GQ0011044,1,,,2
2023GQ0011214,1,,,2
2023GQ0011484,1,70,,3
2023GQ0011536,1,75,,3
2023GQ0011819,1,,,2
2023GQ0011844,1,,,2
2023GQ0011908,1,,,2
2023GQ0011913,1,229,,3
2023GQ0012210,1,125,,3
2023GQ0012300,1,116,,3
2023GQ0012466,1,,,2
2023GQ0012516,1,,,3
2023GQ0012563,1,,,3
2023GQ0012811,1,,,3
2023GQ0013237,1,,,3
2023GQ0013245,1,,,2
2023GQ0013257,1,,,2
2023GQ0013278,1,,,2
2023GQ0013563,1,62,,3
2023GQ0013595,1,,,2
2023GQ0013954,1,147,,3
2023GQ0014118,1,,,2
2023GQ0014214,1,,,2
2023GQ0014365,1,,,3
2023GQ0014445,1,,,2
2023GQ0014453,1,124,,3
2023GQ0014686,1,,,2
2023GQ0015415,1,0,,3
2023GQ0015420,1,,,2
2023GQ0016699,1,62,,3
2023GQ0016759,1,,,2
2023GQ0016905,1,,,2
2023GQ0016970,1,,,2
2023GQ0017033,1,,,2
2023GQ0017118,1,,,2
2023GQ0017260,1,,,2
2023GQ0017313,1,491,,3
2023GQ0017397,1,,,2
2023GQ0017692,1,,,2
2023GQ0017728,1,,,2
2023GQ0018079,1,0,,3
2023GQ0018902,1,,,2
2023GQ0019245,1,,,2
2023GQ0019275,1,0,,3
2023GQ0019434,1,,,2
2023GQ0019484,1,,,2
2023GQ0019709,1,,,3
2023GQ0020199,1,,,3
2023GQ0020290,1,,,2
2023GQ0020305,1,64,,3
2023GQ0020351,1,,,2
2023GQ0020394,1,,,3
2023GQ0020638,1,,,2
2023GQ0020724,1,,,2
2023GQ0020743,1,,,2
2023GQ0020864,1,,,3
2023GQ0020884,1,10,,3
2023GQ0020919,1,,,3
2023GQ0021270,1,,,2
2023GQ0021512,1,,,2
2023GQ0021728,1,,,2
2023GQ0021826,1,,,2
2023GQ0021833,1,71,,3
2023GQ0022003,1,58,,3
2023GQ0022024,1,,,2
2023GQ0022054,1,,,2
2023GQ0022256,1,72,,3
