SERIALNO,SPORDER,POVPIP,TEN,TYPEHUGQ
2023GQ0000083,1,,,3
2023GQ0000125,1,415,,3
2023GQ0000152,1,,,3
2023GQ0000209,1,0,,3
2023GQ0000225,1,,,2
2023GQ0000287,1,108,,3
2023GQ0000303,1,,,2
2023GQ0000360,1,,,2
2023GQ0000381,1,,,2
2023GQ0000453,1,225,,3
2023GQ0000475,1,0,,3
2023GQ0000478,1,,,2
2023GQ0000563,1,,,2
2023GQ0000613,1,205,,3
2023GQ0000624,1,,,2
2023GQ0000650,1,,,2
2023GQ0000665,1,,,3
2023GQ0000691,1,,,2
2023GQ0000735,1,501,,3
2023GQ0000805,1,0,,3
2023GQ0000817,1,87,,3
2023GQ0000841,1,,,2
2023GQ0000859,1,,,2
2023GQ0000922,1,,,3
2023GQ0000965,1,119,,3
2023GQ0000973,1,,,3
2023GQ0000992,1,77,,3
2023GQ0001049,1,165,,3
2023GQ0001051,1,,,3
2023GQ0001065,1,,,3
2023GQ0001073,1,,,3
2023GQ0001077,1,,,2
2023GQ0001163,1,,,3
2023GQ0001174,1,,,3
2023GQ0001194,1,115,,3
2023GQ0001256,1,,,3
2023GQ0001287,1,99,,3
2023GQ0001295,1,,,2
2023GQ0001301,1,,,3
2023GQ0001326,1,,,2
2023GQ0001371,1,,,2
2023GQ0001392,1,,,2
2023GQ0001443,1,,,3
2023GQ0001478,1,,,2
2023GQ0001487,1,,,3
2023GQ0001504,1,,,2
2023GQ0001534,1,18,,3
2023GQ0001547,1,,,2
2023GQ0001555,1,,,3
2023GQ0001559,1,,,3
2023GQ0001586,1,,,3
2023GQ0001601,1,,,2
2023GQ0001643,1,,,3
2023GQ0001651,1,,,2
2023GQ0001659,1,123,,3
2023GQ0001719,1,95,,3
2023GQ0001746,1,501,,3
2023GQ0001747,1,15,,3
2023GQ0001783,1,,,3
2023GQ0001825,1,,,3
2023GQ0001839,1,,,2
2023GQ0001900,1,13,,3
2023GQ0001973,1,,,2
2023GQ0002103,1,,,3
2023GQ0002137,1,,,3
2023GQ0002215,1,,,2
2023GQ0002351,1,,,2
2023GQ0002390,1,,,3
2023GQ0002413,1,,,2
2023GQ0002431,1,0,,3
2023GQ0002488,1,,,2
2023GQ0002519,1,,,3
2023GQ0002545,1,,,3
2023GQ0002555,1,16,,3
2023GQ0002583,1,,,3
2023GQ0002612,1,,,3
2023GQ0002618,1,,,3
2023GQ0002652,1,,,2
2023GQ0002657,1,9,,3
2023GQ0002672,1,0,,3
2023GQ0002722,1,17,,3
2023GQ0002799,1,501,,3
2023GQ0002903,1,136,,3
2023GQ0002907,1,,,2
2023GQ0002939,1,,,2
2023GQ0002941,1,143,,3
2023GQ0002953,1,0,,3
2023GQ0002968,1,,,3
2023GQ0002976,1,,,3
2023GQ0003014,1,,,3
2023GQ0003049,1,,,3
2023GQ0003124,1,,,2
2023GQ0003216,1,,,2
2023GQ0003326,1,,,2
2023GQ0003368,1,124,,3
2023GQ0003512,1,83,,3
2023GQ0003578,1,501,,3
2023GQ0003630,1,,,3
2023GQ0003632,1,,,3
2023GQ0003637,1,115,,3
2023GQ0003655,1,,,3
2023GQ0003717,1,80,,3
2023GQ0003751,1,,,2
2023GQ0003861,1,121,,3
2023GQ0003870,1,,,2
2023GQ0003906,1,456,,3
2023GQ0004021,1,,,2
2023GQ0004035,1,,,2
2023GQ0004066,1,,,2
2023GQ0004102,1,,,3
2023GQ0004113,1,,,3
2023GQ0004240,1,0,,3
2023GQ0004292,1,,,3
2023GQ0004342,1,,,3
2023GQ0004365,1,,,3
2023GQ0004389,1,80,,3
2023GQ0004395,1,,,3
2023GQ0004413,1,,,2
2023GQ0004414,1,,,3
2023GQ0004449,1,,,3
2023GQ0004508,1,52,,3
2023GQ0004630,1,,,3
2023GQ0004692,1,,,3
2023GQ0004772,1,,,3
2023GQ0004804,1,32,,3
2023GQ0004878,1,,,2
2023GQ0004997,1,,,2
2023GQ0005013,1,,,2
2023GQ0005049,1,,,2
2023GQ0005063,1,0,,3
2023GQ0005217,1,,,2
2023GQ0005252,1,,,2
2023GQ0005256,1,,,2
2023GQ0005313,1,134,,3
2023GQ0005466,1,3,,3
2023GQ0005478,1,,,3
2023GQ0005570,1,33,,3
2023GQ0005586,1,,,2
2023GQ0005592,1,,,2
2023GQ0005617,1,,,3
2023GQ0005643,1,,,2
2023GQ0005648,1,9,,3
2023GQ0005663,1,102,,3
2023GQ0005672,1,352,,3
2023GQ0005739,1,,,2
