SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0000006,1,78,19,2,6,1,19,0,0,0,0,6,5,5,2,04109,1019518
2023GQ0000136,1,63,22,2,6,1,19,1500,0,4640,2,6,1,5,1,04165,1019518
2023GQ0000342,1,67,58,1,8,3,14,12100,78,0,0,6,1,5,1,04111,1019518
2023GQ0000376,1,4,35,1,8,17,15,25000,161,6260,6,3,3,4,1,04263,1019518
2023GQ0000418,1,14,45,1,1,1,23,31500,206,2040,2,1,1,5,1,04501,1019518
2023GQ0000439,1,14,75,1,2,1,16,0,0,0,0,6,1,5,1,04501,1019518
2023GQ0000484,1,72,34,1,8,3,12,5200,33,0,0,6,1,3,1,04165,1019518
2023GQ0000496,1,1,47,2,8,3,17,2260,14,0,0,6,1,5,1,04221,1019518
2023GQ0000539,1,10,56,1,2,1,16,16000,104,0,0,6,1,5,1,04408,1019518
2023GQ0000542,1,31,84,1,6,1,21,14700,0,0,0,6,1,1,1,04311,1019518
2023GQ0000543,1,2,91,2,1,1,18,0,0,0,0,6,1,5,1,04209,1019518
2023GQ0000596,1,34,24,2,6,1,19,6000,0,5400,1,1,5,5,2,04108,1019518
2023GQ0000597,1,60,83,1,2,1,16,17700,0,0,0,6,1,1,1,04108,1019518
2023GQ0000682,1,89,66,1,9,3,14,25000,176,4020,1,1,1,3,1,04165,1019518
2023GQ0000704,1,33,31,2,9,8,16,2200,14,0,0,6,5,5,2,04221,1019518
2023GQ0000706,1,38,88,2,1,1,21,10000,0,0,0,6,4,3,2,04313,1019518
2023GQ0000716,1,31,88,2,2,1,21,13000,0,0,0,6,1,2,1,04414,1019518
2023GQ0000737,1,11,18,1,1,1,19,0,0,0,0,6,1,5,1,04315,1019518
2023GQ0000772,1,25,78,1,2,1,16,12600,0,0,0,6,1,5,1,04414,1019518
2023GQ0000801,1,63,59,2,1,1,16,19300,123,0,0,6,1,4,1,04303,1019518
2023GQ0000952,1,77,85,2,2,1,14,0,0,0,0,6,5,5,2,04402,1019518
2023GQ0000971,1,13,54,2,9,1,1,0,0,0,0,6,1,5,1,04210,1019518
