SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0000083,1,48,19,2,1,1,19,0,0,0,0,6,1,5,1,03780,1019518
2023GQ0000125,1,28,28,1,9,2,19,65000,415,4760,1,6,1,5,1,03754,1019518
2023GQ0000152,1,32,20,2,2,1,19,3500,0,4640,1,6,1,5,1,03776,1019518
2023GQ0000209,1,6,34,1,1,1,15,0,0,0,0,6,1,5,1,03716,1019518
2023GQ0000225,1,16,85,2,8,2,16,0,0,0,0,6,4,2,2,03741,1019518
2023GQ0000287,1,17,79,1,8,2,9,15200,108,0,0,6,1,5,1,03766,1019518
2023GQ0000303,1,80,60,2,2,1,20,360,0,0,0,6,1,5,1,03781,1019518
2023GQ0000360,1,18,90,2,6,1,20,9700,0,0,0,6,4,5,2,03735,1019518
2023GQ0000381,1,80,31,1,9,24,16,12000,0,0,0,6,1,5,1,03764,1019518
2023GQ0000453,1,163,35,2,1,1,16,34700,225,2060,2,1,1,5,1,03732,1019518
2023GQ0000475,1,11,28,1,1,24,17,0,0,9920,9,3,1,5,1,03779,1019518
2023GQ0000478,1,46,61,1,9,2,19,12000,0,6260,6,6,5,5,2,03744,1019518
2023GQ0000563,1,30,56,1,1,1,13,0,0,0,0,6,1,5,1,03766,1019518
2023GQ0000613,1,48,75,1,1,1,14,30000,205,0,0,6,1,5,1,03782,1019518
2023GQ0000624,1,52,59,2,1,1,16,17100,0,0,0,6,1,3,1,03754,1019518
2023GQ0000650,1,74,72,1,1,1,13,0,0,0,0,6,1,2,1,03746,1019518
2023GQ0000665,1,12,22,1,6,1,21,20000,0,1555,1,1,1,5,1,03734,1019518
2023GQ0000691,1,15,73,2,1,1,22,6000,0,0,0,6,1,3,1,03719,1019518
2023GQ0000735,1,98,35,2,8,2,19,80000,501,3870,4,1,1,1,1,03753,1019518
2023GQ0000805,1,65,39,1,8,2,16,0,0,0,0,6,1,5,1,03752,1019518
2023GQ0000817,1,38,41,2,9,2,19,13600,87,0,0,6,1,5,1,03736,1019518
2023GQ0000841,1,17,47,2,8,2,14,0,0,0,0,6,5,5,2,03722,1019518
2023GQ0000859,1,26,78,2,6,1,21,12000,0,0,0,6,4,2,2,03738,1019518
2023GQ0000922,1,74,19,2,6,1,19,0,0,0,0,6,3,5,1,03776,1019518
2023GQ0000965,1,17,39,2,1,1,16,18700,119,5240,1,1,1,5,1,03723,1019518
2023GQ0000973,1,55,18,2,6,1,19,1500,0,5240,1,6,5,5,2,03776,1019518
2023GQ0000992,1,108,89,2,2,1,17,11200,77,0,0,6,1,5,1,03763,1019518
2023GQ0001049,1,12,56,2,2,1,19,26000,165,2545,1,6,1,2,1,03758,1019518
2023GQ0001051,1,55,19,1,1,2,16,2000,0,3960,1,6,1,5,1,03746,1019518
2023GQ0001065,1,70,29,1,8,24,18,38000,0,1970,4,1,1,5,1,03711,1019518
2023GQ0001073,1,62,21,1,1,2,19,0,0,4720,1,6,1,5,1,03711,1019518
2023GQ0001077,1,9,94,1,2,1,16,3000,0,0,0,6,1,5,1,03761,1019518
2023GQ0001163,1,36,28,1,9,2,21,34300,0,7340,1,1,1,1,1,03710,1019518
2023GQ0001174,1,50,27,2,1,1,21,0,0,3520,1,3,4,5,2,03712,1019518
2023GQ0001194,1,68,81,2,6,1,16,16800,115,0,0,6,1,2,1,03767,1019518
2023GQ0001256,1,11,21,2,1,1,20,6500,0,2205,2,6,1,5,1,03711,1019518
2023GQ0001287,1,49,69,2,3,1,16,14500,99,0,0,6,1,1,1,03763,1019518
2023GQ0001295,1,62,89,2,6,1,16,10800,0,0,0,6,4,2,2,03730,1019518
2023GQ0001301,1,76,18,1,6,1,19,0,0,0,0,6,1,5,1,03776,1019518
2023GQ0001326,1,5,41,1,9,2,19,0,0,0,0,6,1,1,1,03772,1019518
2023GQ0001371,1,25,65,1,1,1,18,0,0,0,0,6,1,5,1,03724,1019518
2023GQ0001392,1,112,19,2,8,16,19,0,0,0,0,6,1,5,1,03746,1019518
2023GQ0001443,1,17,19,2,1,1,19,2500,0,2360,2,6,1,5,1,03711,1019518
2023GQ0001478,1,55,68,1,8,2,20,27700,0,0,0,6,1,3,1,03711,1019518
2023GQ0001487,1,38,19,2,1,1,19,0,0,0,0,6,1,5,1,03776,1019518
2023GQ0001504,1,11,52,2,1,1,15,18400,0,0,0,6,1,5,1,03735,1019518
2023GQ0001534,1,65,44,1,1,1,17,3000,18,0,0,6,5,1,2,03768,1019518
2023GQ0001547,1,73,35,1,1,1,14,0,0,0,0,6,1,5,1,03763,1019518
2023GQ0001555,1,37,19,2,1,24,19,0,0,0,0,6,1,5,1,03779,1019518
2023GQ0001559,1,5,20,1,1,1,19,0,0,3960,1,6,1,5,1,03776,1019518
2023GQ0001586,1,14,23,1,6,1,19,0,0,0,0,6,3,5,1,03776,1019518
2023GQ0001601,1,40,53,2,8,24,14,0,0,0,0,6,1,5,1,03708,1019518
2023GQ0001643,1,62,21,2,1,1,19,6000,0,2435,2,1,1,5,1,03770,1019518
2023GQ0001651,1,13,76,1,1,1,16,0,0,0,0,6,4,5,2,03719,1019518
2023GQ0001659,1,8,94,2,1,1,16,17600,123,0,0,6,1,2,1,03717,1019518
2023GQ0001719,1,8,88,2,2,1,17,13800,95,0,0,6,1,5,1,03753,1019518
2023GQ0001746,1,9,31,2,6,1,20,109350,501,3255,1,1,4,5,2,03758,1019518
2023GQ0001747,1,164,84,2,8,2,1,2200,15,0,0,6,5,5,2,03705,1019518
2023GQ0001783,1,107,20,2,6,1,20,0,0,0,0,6,1,5,1,03776,1019518
2023GQ0001825,1,58,20,1,6,1,18,0,0,0,0,6,5,5,2,03748,1019518
2023GQ0001839,1,289,32,1,6,1,11,0,0,0,0,6,4,5,2,03772,1019518
2023GQ0001900,1,13,49,1,1,1,16,2000,13,9620,3,1,1,3,1,03742,1019518
2023GQ0001973,1,22,41,1,9,2,1,0,0,0,0,6,5,5,2,03703,1019518
2023GQ0002103,1,50,21,1,9,1,16,6500,0,1021,1,6,1,5,1,03711,1019518
2023GQ0002137,1,72,19,1,6,1,18,3000,0,2555,2,1,1,5,1,03776,1019518
2023GQ0002215,1,281,31,1,9,2,17,0,0,0,0,6,1,5,1,03772,1019518
2023GQ0002351,1,7,84,2,8,24,14,25300,0,0,0,6,1,2,1,03710,1019518
2023GQ0002390,1,62,29,1,8,24,18,38000,0,1970,4,1,1,5,1,03746,1019518
2023GQ0002413,1,21,88,2,8,2,1,0,0,0,0,6,1,2,1,03782,1019518
2023GQ0002431,1,15,63,2,2,1,22,0,0,0,0,6,5,3,2,03758,1019518
2023GQ0002488,1,1,13,2,8,2,10,0,0,0,0,0,1,5,1,03722,1019518
2023GQ0002519,1,12,22,1,9,1,16,13050,0,2350,2,2,5,5,2,03711,1019518
2023GQ0002545,1,22,21,2,1,2,21,4300,0,5260,4,1,1,5,1,03705,1019518
2023GQ0002555,1,162,42,2,2,1,20,2600,16,4900,1,6,1,5,1,03780,1019518
2023GQ0002583,1,86,22,1,1,1,19,9000,0,4720,1,1,1,5,1,03776,1019518
2023GQ0002612,1,56,19,1,6,1,19,550,0,0,0,6,1,5,1,03776,1019518
2023GQ0002618,1,80,19,1,1,1,18,0,0,0,0,6,1,5,1,03776,1019518
2023GQ0002652,1,7,72,1,2,1,21,7700,0,0,0,6,1,5,1,03738,1019518
2023GQ0002657,1,37,32,1,1,1,21,1400,9,0,0,6,1,5,1,03738,1019518
2023GQ0002672,1,13,66,1,1,1,1,0,0,0,0,6,1,5,1,03740,1019518
2023GQ0002722,1,52,44,1,2,1,16,2700,17,0,0,6,1,5,1,03779,1019518
2023GQ0002799,1,219,47,1,9,2,21,101000,501,440,1,1,4,3,2,03725,1019518
2023GQ0002903,1,17,69,1,6,1,21,19200,136,0,0,6,1,5,1,03725,1019518
2023GQ0002907,1,79,94,2,6,1,16,24900,0,0,0,6,4,2,2,03763,1019518
2023GQ0002939,1,49,88,1,9,2,1,0,0,0,0,6,4,2,2,03732,1019518
2023GQ0002941,1,26,48,2,8,2,19,22600,143,9920,9,3,1,5,1,03717,1019518
2023GQ0002953,1,39,33,2,2,1,14,0,0,0,0,6,1,5,1,03778,1019518
2023GQ0002968,1,71,20,2,6,1,16,160,0,4110,1,1,5,5,2,03705,1019518
2023GQ0002976,1,59,19,2,6,1,19,4000,0,1108,4,1,4,5,2,03735,1019518
2023GQ0003014,1,25,20,1,6,1,19,7300,0,1555,2,1,1,5,1,03711,1019518
2023GQ0003049,1,68,19,1,1,1,18,9000,0,4030,1,1,1,5,1,03776,1019518
